Lat,Lon,BS
-34.76498,-60.85096,Bajo
-34.555538,-60.85017,Bajo
-34.719727,-61.207001,Bajo
-34.53791,-60.96374,Bajo
-34.34967,-61.113255,Bajo
-34.3314,-61.007645,Bajo
-34.498127,-60.71904,Bajo
-34.77191,-60.86046,Bajo
-34.702377,-61.005985,Bajo
-34.370682,-60.891621,Bajo
-34.449184,-60.943512,Bajo
-34.54379,-61.0043,Bajo
-34.486568,-61.078819,Bajo
-34.74864,-60.82737,Bajo
-34.52364,-61.261688,Bajo
-34.535721,-60.8256,Bajo
-34.5005,-60.70853,Bajo
-34.537262,-60.985065,Bajo
-34.49611,-60.84139,Bajo
-34.749332,-60.966152,Bajo
-34.381008,-61.118759,Bajo
-34.471661,-60.84103,Bajo
-34.52813,-60.8528,Bajo
-34.708279,-61.16003,Bajo
-34.597427,-61.00339,Bajo
-34.478432,-60.608749,Bajo
-34.48358,-60.87346,Bajo
-34.691269,-60.960281,Bajo
-34.91098,-58.040131,Bajo
-34.936909,-58.05619,Bajo
-35.04917,-58.08024,Bajo
-34.985974,-58.161354,Bajo
-35.0683,-58.11948,Bajo
-37.44117,-60.54493,Bajo
-37.569939,-60.848713,Bajo
-36.031736,-59.078061,Bajo
-36.03177,-59.08162,Bajo
-36.00106,-59.07143,Bajo
-35.992989,-58.92934,Bajo
-36.06905,-59.047539,Bajo
-36.02104,-59.16003,Bajo
-35.89151,-59.52079,Bajo
-34.501459,-61.525756,Bajo
-34.31597,-61.48172,Bajo
-34.38995,-61.50503,Bajo
-34.39039,-61.51153,Bajo
-34.492088,-61.549492,Bajo
-34.497,-61.518,Bajo
-34.3457,-61.51928,Bajo
-34.46217,-61.30778,Bajo
-34.36339,-61.48122,Bajo
-34.39621,-61.73174,Bajo
-34.492069,-61.837109,Bajo
-34.54785,-61.40912,Bajo
-34.824558,-61.59745,Bajo
-34.91085,-61.627,Bajo
-34.93435,-61.49078,Bajo
-34.83218,-61.57562,Bajo
-34.8027,-61.54166,Bajo
-34.894943,-61.56873,Bajo
-34.84816,-61.54071,Bajo
-35.087231,-61.519321,Bajo
-35.089161,-61.527729,Bajo
-34.842659,-61.183971,Bajo
-34.838009,-61.583092,Bajo
-35.09087,-61.988651,Bajo
-35.29982,-61.60511,Bajo
-35.29545,-61.5548,Bajo
-35.110001,-61.91008,Bajo
-35.128864,-62.240932,Bajo
-38.14892,-58.76484,Bajo
-38.1712,-58.8305,Bajo
-38.117,-58.8542,Bajo
-38.147934,-58.926514,Bajo
-38.28003,-58.66636,Bajo
-38.4608,-58.6363,Bajo
